,scr,label,row
86,1.0,0.0,1
109,0.9,0.0,2
318,0.9,0.0,3
74,0.8,0.0,4
203,0.8,0.0,5
198,0.7000000000000001,0.0,6
239,0.7000000000000001,0.0,7
160,0.6000000000000001,0.0,8
5,0.5,0.0,9
357,0.0,0.0,10
358,0.0,0.0,11
359,0.0,0.0,12
360,0.0,0.0,13
361,0.0,0.0,14
362,0.0,0.0,15
363,0.0,0.0,16
364,0.0,0.0,17
365,0.0,0.0,18
366,0.0,0.0,19
367,0.0,0.0,20
368,0.0,0.0,21
369,0.0,0.0,22
370,0.0,0.0,23
19,0.0,0.0,24
20,0.0,0.0,25
21,0.0,0.0,26
22,0.0,0.0,27
23,0.0,0.0,28
24,0.0,0.0,29
25,0.0,0.0,30
26,0.0,0.0,31
27,0.0,0.0,32
28,0.0,0.0,33
29,0.0,0.0,34
30,0.0,0.0,35
31,0.0,1.0,36
32,0.0,0.0,37
33,0.0,0.0,38
34,0.0,0.0,39
35,0.0,0.0,40
36,0.0,0.0,41
37,0.0,0.0,42
38,0.0,0.0,43
39,0.0,0.0,44
40,0.0,0.0,45
41,0.0,0.0,46
42,0.0,0.0,47
43,0.0,0.0,48
44,0.0,0.0,49
45,0.0,0.0,50
46,0.0,0.0,51
47,0.0,0.0,52
48,0.0,0.0,53
49,0.0,0.0,54
50,0.0,0.0,55
51,0.0,0.0,56
52,0.0,0.0,57
53,0.0,0.0,58
54,0.0,0.0,59
55,0.0,0.0,60
56,0.0,0.0,61
57,0.0,0.0,62
58,0.0,0.0,63
59,0.0,0.0,64
60,0.0,0.0,65
61,0.0,0.0,66
62,0.0,0.0,67
63,0.0,0.0,68
64,0.0,0.0,69
65,0.0,0.0,70
66,0.0,0.0,71
67,0.0,0.0,72
68,0.0,0.0,73
69,0.0,0.0,74
70,0.0,0.0,75
71,0.0,0.0,76
72,0.0,0.0,77
73,0.0,0.0,78
75,0.0,0.0,79
76,0.0,0.0,80
77,0.0,0.0,81
78,0.0,0.0,82
79,0.0,0.0,83
80,0.0,0.0,84
81,0.0,0.0,85
82,0.0,0.0,86
83,0.0,0.0,87
84,0.0,0.0,88
85,0.0,0.0,89
87,0.0,0.0,90
88,0.0,0.0,91
89,0.0,0.0,92
90,0.0,0.0,93
91,0.0,0.0,94
92,0.0,0.0,95
93,0.0,0.0,96
94,0.0,0.0,97
95,0.0,0.0,98
96,0.0,0.0,99
97,0.0,0.0,100
98,0.0,0.0,101
99,0.0,0.0,102
100,0.0,0.0,103
101,0.0,0.0,104
102,0.0,0.0,105
103,0.0,0.0,106
104,0.0,0.0,107
105,0.0,0.0,108
106,0.0,0.0,109
107,0.0,0.0,110
108,0.0,0.0,111
110,0.0,0.0,112
111,0.0,0.0,113
112,0.0,0.0,114
113,0.0,0.0,115
114,0.0,0.0,116
115,0.0,0.0,117
116,0.0,0.0,118
117,0.0,0.0,119
118,0.0,0.0,120
119,0.0,0.0,121
120,0.0,0.0,122
121,0.0,0.0,123
122,0.0,0.0,124
123,0.0,0.0,125
124,0.0,0.0,126
125,0.0,0.0,127
126,0.0,0.0,128
127,0.0,0.0,129
128,0.0,0.0,130
129,0.0,0.0,131
130,0.0,0.0,132
131,0.0,0.0,133
132,0.0,0.0,134
133,0.0,0.0,135
134,0.0,0.0,136
135,0.0,0.0,137
136,0.0,0.0,138
137,0.0,0.0,139
138,0.0,0.0,140
139,0.0,0.0,141
140,0.0,0.0,142
141,0.0,0.0,143
142,0.0,0.0,144
143,0.0,1.0,145
144,0.0,0.0,146
145,0.0,0.0,147
146,0.0,0.0,148
147,0.0,0.0,149
148,0.0,0.0,150
149,0.0,0.0,151
150,0.0,0.0,152
151,0.0,0.0,153
152,0.0,0.0,154
153,0.0,0.0,155
154,0.0,0.0,156
155,0.0,0.0,157
156,0.0,0.0,158
157,0.0,0.0,159
158,0.0,0.0,160
159,0.0,0.0,161
161,0.0,0.0,162
162,0.0,0.0,163
163,0.0,0.0,164
164,0.0,0.0,165
165,0.0,0.0,166
166,0.0,0.0,167
167,0.0,0.0,168
168,0.0,0.0,169
169,0.0,0.0,170
170,0.0,0.0,171
171,0.0,0.0,172
172,0.0,0.0,173
173,0.0,0.0,174
174,0.0,0.0,175
175,0.0,0.0,176
176,0.0,0.0,177
177,0.0,0.0,178
178,0.0,0.0,179
179,0.0,0.0,180
180,0.0,0.0,181
181,0.0,0.0,182
182,0.0,0.0,183
183,0.0,0.0,184
184,0.0,0.0,185
185,0.0,0.0,186
186,0.0,0.0,187
187,0.0,0.0,188
188,0.0,0.0,189
189,0.0,0.0,190
190,0.0,0.0,191
191,0.0,0.0,192
192,0.0,0.0,193
193,0.0,0.0,194
194,0.0,0.0,195
195,0.0,0.0,196
196,0.0,0.0,197
197,0.0,0.0,198
2,0.0,0.0,199
199,0.0,0.0,200
200,0.0,0.0,201
201,0.0,0.0,202
202,0.0,0.0,203
355,0.0,0.0,204
204,0.0,0.0,205
205,0.0,0.0,206
206,0.0,0.0,207
207,0.0,0.0,208
208,0.0,0.0,209
209,0.0,0.0,210
210,0.0,0.0,211
211,0.0,0.0,212
212,0.0,0.0,213
213,0.0,0.0,214
214,0.0,0.0,215
215,0.0,0.0,216
216,0.0,0.0,217
217,0.0,0.0,218
218,0.0,0.0,219
219,0.0,0.0,220
220,0.0,0.0,221
221,0.0,0.0,222
222,0.0,0.0,223
223,0.0,0.0,224
224,0.0,0.0,225
225,0.0,0.0,226
226,0.0,0.0,227
227,0.0,0.0,228
228,0.0,0.0,229
229,0.0,0.0,230
230,0.0,0.0,231
231,0.0,0.0,232
232,0.0,0.0,233
233,0.0,0.0,234
234,0.0,0.0,235
235,0.0,0.0,236
236,0.0,0.0,237
237,0.0,0.0,238
238,0.0,0.0,239
18,0.0,0.0,240
240,0.0,0.0,241
241,0.0,0.0,242
242,0.0,0.0,243
243,0.0,0.0,244
244,0.0,0.0,245
245,0.0,0.0,246
246,0.0,0.0,247
247,0.0,0.0,248
248,0.0,0.0,249
249,0.0,0.0,250
250,0.0,0.0,251
251,0.0,0.0,252
252,0.0,0.0,253
253,0.0,0.0,254
254,0.0,0.0,255
255,0.0,0.0,256
256,0.0,0.0,257
257,0.0,0.0,258
258,0.0,0.0,259
259,0.0,0.0,260
260,0.0,0.0,261
261,0.0,0.0,262
262,0.0,0.0,263
263,0.0,0.0,264
264,0.0,0.0,265
265,0.0,0.0,266
266,0.0,0.0,267
267,0.0,0.0,268
268,0.0,0.0,269
269,0.0,0.0,270
270,0.0,0.0,271
271,0.0,0.0,272
272,0.0,0.0,273
273,0.0,0.0,274
274,0.0,0.0,275
275,0.0,0.0,276
276,0.0,0.0,277
277,0.0,0.0,278
278,0.0,0.0,279
279,0.0,0.0,280
280,0.0,0.0,281
281,0.0,0.0,282
282,0.0,0.0,283
283,0.0,0.0,284
284,0.0,0.0,285
285,0.0,0.0,286
286,0.0,0.0,287
287,0.0,0.0,288
288,0.0,0.0,289
289,0.0,0.0,290
290,0.0,0.0,291
291,0.0,0.0,292
292,0.0,0.0,293
293,0.0,0.0,294
294,0.0,0.0,295
295,0.0,0.0,296
296,0.0,0.0,297
297,0.0,0.0,298
298,0.0,0.0,299
299,0.0,0.0,300
300,0.0,1.0,301
301,0.0,0.0,302
302,0.0,0.0,303
303,0.0,0.0,304
304,0.0,0.0,305
305,0.0,0.0,306
306,0.0,0.0,307
307,0.0,0.0,308
308,0.0,0.0,309
309,0.0,0.0,310
310,0.0,0.0,311
311,0.0,0.0,312
312,0.0,0.0,313
313,0.0,0.0,314
314,0.0,0.0,315
315,0.0,0.0,316
316,0.0,0.0,317
317,0.0,0.0,318
0,0.0,0.0,319
319,0.0,0.0,320
320,0.0,0.0,321
321,0.0,0.0,322
322,0.0,0.0,323
323,0.0,0.0,324
324,0.0,0.0,325
325,0.0,0.0,326
326,0.0,0.0,327
327,0.0,0.0,328
328,0.0,0.0,329
329,0.0,0.0,330
330,0.0,0.0,331
331,0.0,0.0,332
332,0.0,0.0,333
333,0.0,0.0,334
334,0.0,0.0,335
335,0.0,0.0,336
336,0.0,0.0,337
337,0.0,0.0,338
338,0.0,0.0,339
339,0.0,0.0,340
340,0.0,0.0,341
341,0.0,0.0,342
342,0.0,0.0,343
343,0.0,0.0,344
344,0.0,0.0,345
345,0.0,0.0,346
346,0.0,0.0,347
347,0.0,0.0,348
348,0.0,0.0,349
349,0.0,0.0,350
350,0.0,0.0,351
351,0.0,0.0,352
352,0.0,0.0,353
353,0.0,0.0,354
354,0.0,0.0,355
371,0.0,0.0,356
372,0.0,0.0,357
373,0.0,0.0,358
374,0.0,0.0,359
375,0.0,0.0,360
376,0.0,0.0,361
377,0.0,0.0,362
378,0.0,0.0,363
379,0.0,0.0,364
380,0.0,0.0,365
381,0.0,0.0,366
382,0.0,0.0,367
383,0.0,0.0,368
384,0.0,0.0,369
385,0.0,0.0,370
386,0.0,0.0,371
3,0.0,0.0,372
4,0.0,0.0,373
356,0.0,0.0,374
6,0.0,0.0,375
7,0.0,0.0,376
8,0.0,1.0,377
9,0.0,0.0,378
10,0.0,0.0,379
11,0.0,0.0,380
12,0.0,0.0,381
13,0.0,0.0,382
14,0.0,0.0,383
15,0.0,0.0,384
16,0.0,0.0,385
17,0.0,0.0,386
1,0.0,0.0,387
